user_genome,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings
NPO-all-SRF-0-8-5-00-bin-395,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera sp002729955,GCA_002729955.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera sp002729955,99.84,0.98,GCA_002729955.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera sp002729955,99.84,0.98,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCA_002433465.1, s__Salinisphaera sp002433465, 95.0, 88.92, 0.76; GCF_000215955.2, s__Salinisphaera shabanensis, 95.0, 83.86, 0.74; GCF_000732535.1, s__Salinisphaera hydrothermalis, 95.0, 78.47, 0.33; GCF_003177035.1, s__Salinisphaera sp003177035, 95.0, 78.45, 0.32; GCA_002320455.1, s__Salinisphaera sp002320455, 95.0, 78.32, 0.33; GCA_002715985.1, s__Salinisphaera sp002715985, 95.0, 77.96, 0.34",91.71,11,,
NPO-all-SRF-0-8-5-00-bin-458,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__GCA-2683405;s__GCA-2683405 sp002683405,GCA_002683405.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__GCA-2683405;s__GCA-2683405 sp002683405,99.97,0.98,GCA_002683405.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__GCA-2683405;s__GCA-2683405 sp002683405,99.97,0.98,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,96.59,11,,
NPO-all-MES-0-8-5-00-bin-123,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__OUC007;s__OUC007 sp003151135,GCF_003151135.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__OUC007;s__OUC007 sp003151135,98.38,0.96,GCF_003151135.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__OUC007;s__OUC007 sp003151135,98.38,0.96,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,75.69,11,,
IO-all-SRF-0-8-5-00-bin-117,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__OUC007;s__OUC007 sp003151135,GCF_003151135.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__OUC007;s__OUC007 sp003151135,98.36,0.93,GCF_003151135.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__OUC007;s__OUC007 sp003151135,98.36,0.93,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,98.61,11,,
IO-all-SRF-0-8-5-00-bin-306,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__Oceanococcus;s__Oceanococcus atlanticus,GCF_002088235.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__Oceanococcus;s__Oceanococcus atlanticus,98.52,0.98,GCF_002088235.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__Oceanococcus;s__Oceanococcus atlanticus,98.52,0.98,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,98.69,11,,
IO-all-SRF-5-20-00-bin-78,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__Oceanococcus;s__Oceanococcus atlanticus,GCF_002088235.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__Oceanococcus;s__Oceanococcus atlanticus,98.53,0.93,GCF_002088235.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__Oceanococcus;s__Oceanococcus atlanticus,98.53,0.93,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,93.06,11,,
MS-all-SRF-0-8-5-00-bin-354,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4575;f__UBA4575;g__UBA1858;s__UBA1858 sp002338385,GCA_002338385.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4575;f__UBA4575;g__UBA1858;s__UBA1858 sp002338385,99.74,0.91,GCA_002338385.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4575;f__UBA4575;g__UBA1858;s__UBA1858 sp002338385,99.74,0.91,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4575;f__UBA4575;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,85.36,11,,
NAO-all-SRF-0-8-5-00-bin-425,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__UBA5861;s__UBA5861 sp002432635,GCA_002432635.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__UBA5861;s__UBA5861 sp002432635,99.64,0.93,GCA_002432635.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__UBA5861;s__UBA5861 sp002432635,99.64,0.93,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,89.37,11,,
SPO-all-SRF-0-8-5-00-bin-1027,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,GCA_002700385.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,100.0,1.0,GCA_002700385.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,100.0,1.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000384415.1, s__Cycloclasticus pugetii, 95.0, 78.96, 0.36; GCA_001566825.1, s__Cycloclasticus sp001566825, 95.0, 77.81, 0.34; GCA_002162705.1, s__Cycloclasticus sp002162705, 95.0, 77.69, 0.34; GCA_002101235.1, s__Cycloclasticus sp002101235, 95.0, 77.64, 0.25",98.91,11,,
NAO-all-SRF-0-8-5-00-bin-4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,GCA_002700385.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,100.0,1.0,GCA_002700385.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,100.0,1.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000384415.1, s__Cycloclasticus pugetii, 95.0, 79.39, 0.39; GCA_001566825.1, s__Cycloclasticus sp001566825, 95.0, 77.81, 0.34; GCA_002162705.1, s__Cycloclasticus sp002162705, 95.0, 77.66, 0.34; GCA_002101235.1, s__Cycloclasticus sp002101235, 95.0, 77.63, 0.25",97.36,11,,
SPO-SPSG-SRF-0-8-5-00-bin-548,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,GCA_002700385.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,99.99,1.0,GCA_002700385.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,99.99,1.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000384415.1, s__Cycloclasticus pugetii, 95.0, 79.33, 0.37; GCA_001566825.1, s__Cycloclasticus sp001566825, 95.0, 77.83, 0.35; GCA_002162705.1, s__Cycloclasticus sp002162705, 95.0, 77.62, 0.34; GCA_002101235.1, s__Cycloclasticus sp002101235, 95.0, 77.6, 0.25",98.99,11,,
NAO-all-DCM-0-8-5-00-bin-192,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,GCF_000974605.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.82,0.88,GCF_000974605.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.82,0.88,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_001652915.1, s__Cupriavidus sp001652915, 95.0, 85.1, 0.72; GCF_900104095.1, s__Cupriavidus sp900104095, 95.0, 84.97, 0.73; GCF_002858765.1, s__Cupriavidus pauculus_B, 95.0, 84.93, 0.74; GCF_000292345.1, s__Cupriavidus sp000292345, 95.0, 84.0, 0.61; GCF_000196015.1, s__Cupriavidus metallidurans, 95.0, 83.75, 0.62; GCF_900115455.1, s__Cupriavidus sp900115455, 95.0, 83.61, 0.66; GCF_900101625.1, s__Cupriavidus sp900101625, 95.0, 83.49, 0.65; GCF_001598055.1, s__Cupriavidus nantongensis, 95.0, 82.82, 0.6; GCF_001592245.1, s__Cupriavidus oxalaticus, 95.0, 82.56, 0.56; GCF_000069785.1, s__Cupriavidus taiwanensis, 95.0, 82.54, 0.58; GCF_900094595.1, s__Cupriavidus alkaliphilus, 95.0, 82.51, 0.58; GCF_000372525.1, s__Cupriavidus taiwanensis_A, 95.0, 82.5, 0.58; GCF_002011925.2, s__Cupriavidus sp002011925, 95.0, 82.39, 0.58; GCF_000379565.1, s__Cupriavidus sp000379565, 95.0, 82.37, 0.56; GCF_000744095.1, s__Cupriavidus necator_A, 95.0, 82.37, 0.59; GCF_000876015.1, s__Cupriavidus basilensis_B, 95.0, 82.36, 0.58; GCF_000426345.1, s__Cupriavidus sp000426345, 95.0, 82.34, 0.56; GCA_000471925.1, s__Cupriavidus pickettii, 95.0, 82.3, 0.59; GCF_000219215.1, s__Cupriavidus necator, 95.0, 82.26, 0.59; GCF_000812465.1, s__Cupriavidus sp000812465, 95.0, 82.25, 0.55; GCF_001281465.1, s__Cupriavidus gilardii, 95.0, 82.07, 0.53; GCF_003148725.1, s__Cupriavidus plantarum, 95.0, 82.01, 0.58; GCF_000203875.1, s__Cupriavidus pinatubonensis, 95.0, 81.98, 0.54; GCA_001725945.1, s__Cupriavidus sp001725945, 95.0, 81.96, 0.52; GCF_001854325.1, s__Cupriavidus sp001854325, 95.0, 81.35, 0.56; GCF_000832305.1, s__Cupriavidus basilensis_A, 95.0, 81.22, 0.54; GCF_000955785.1, s__Cupriavidus sp000955785, 95.0, 81.19, 0.54; GCF_000243095.1, s__Cupriavidus basilensis_D, 95.0, 81.04, 0.53",92.36,11,,
NAO-all-SRF-0-8-5-00-bin-133,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,GCF_000974605.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.83,0.9,GCF_000974605.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.83,0.9,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_001652915.1, s__Cupriavidus sp001652915, 95.0, 85.12, 0.73; GCF_900104095.1, s__Cupriavidus sp900104095, 95.0, 85.0, 0.75; GCF_002858765.1, s__Cupriavidus pauculus_B, 95.0, 84.98, 0.75; GCF_000292345.1, s__Cupriavidus sp000292345, 95.0, 84.01, 0.61; GCF_000196015.1, s__Cupriavidus metallidurans, 95.0, 83.7, 0.63; GCF_900115455.1, s__Cupriavidus sp900115455, 95.0, 83.64, 0.66; GCF_900101625.1, s__Cupriavidus sp900101625, 95.0, 83.58, 0.65; GCF_001598055.1, s__Cupriavidus nantongensis, 95.0, 82.91, 0.59; GCF_000069785.1, s__Cupriavidus taiwanensis, 95.0, 82.6, 0.58; GCF_900094595.1, s__Cupriavidus alkaliphilus, 95.0, 82.57, 0.58; GCF_001592245.1, s__Cupriavidus oxalaticus, 95.0, 82.53, 0.56; GCF_000379565.1, s__Cupriavidus sp000379565, 95.0, 82.51, 0.55; GCF_000372525.1, s__Cupriavidus taiwanensis_A, 95.0, 82.51, 0.59; GCF_000876015.1, s__Cupriavidus basilensis_B, 95.0, 82.38, 0.59; GCF_002011925.2, s__Cupriavidus sp002011925, 95.0, 82.38, 0.58; GCF_000426345.1, s__Cupriavidus sp000426345, 95.0, 82.37, 0.56; GCF_000744095.1, s__Cupriavidus necator_A, 95.0, 82.33, 0.59; GCF_000812465.1, s__Cupriavidus sp000812465, 95.0, 82.3, 0.55; GCF_000219215.1, s__Cupriavidus necator, 95.0, 82.25, 0.59; GCA_000471925.1, s__Cupriavidus pickettii, 95.0, 82.25, 0.6; GCF_001281465.1, s__Cupriavidus gilardii, 95.0, 82.06, 0.53; GCF_000203875.1, s__Cupriavidus pinatubonensis, 95.0, 81.97, 0.55; GCA_001725945.1, s__Cupriavidus sp001725945, 95.0, 81.95, 0.52; GCF_003148725.1, s__Cupriavidus plantarum, 95.0, 81.95, 0.58; GCF_001854325.1, s__Cupriavidus sp001854325, 95.0, 81.39, 0.56; GCF_000955785.1, s__Cupriavidus sp000955785, 95.0, 81.17, 0.56; GCF_000832305.1, s__Cupriavidus basilensis_A, 95.0, 81.16, 0.55; GCF_000243095.1, s__Cupriavidus basilensis_D, 95.0, 81.09, 0.54",92.36,11,,
NPO-all-SRF-0-8-5-00-bin-187,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,GCF_000974605.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.84,0.87,GCF_000974605.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.84,0.87,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_001652915.1, s__Cupriavidus sp001652915, 95.0, 85.08, 0.71; GCF_900104095.1, s__Cupriavidus sp900104095, 95.0, 84.92, 0.74; GCF_002858765.1, s__Cupriavidus pauculus_B, 95.0, 84.9, 0.74; GCF_000292345.1, s__Cupriavidus sp000292345, 95.0, 83.96, 0.6; GCF_000196015.1, s__Cupriavidus metallidurans, 95.0, 83.66, 0.63; GCF_900115455.1, s__Cupriavidus sp900115455, 95.0, 83.61, 0.66; GCF_900101625.1, s__Cupriavidus sp900101625, 95.0, 83.47, 0.64; GCF_001598055.1, s__Cupriavidus nantongensis, 95.0, 82.77, 0.58; GCF_000069785.1, s__Cupriavidus taiwanensis, 95.0, 82.53, 0.57; GCF_000372525.1, s__Cupriavidus taiwanensis_A, 95.0, 82.5, 0.57; GCF_900094595.1, s__Cupriavidus alkaliphilus, 95.0, 82.44, 0.58; GCF_001592245.1, s__Cupriavidus oxalaticus, 95.0, 82.42, 0.55; GCF_002011925.2, s__Cupriavidus sp002011925, 95.0, 82.39, 0.57; GCF_000379565.1, s__Cupriavidus sp000379565, 95.0, 82.38, 0.54; GCF_000744095.1, s__Cupriavidus necator_A, 95.0, 82.34, 0.58; GCF_000426345.1, s__Cupriavidus sp000426345, 95.0, 82.31, 0.55; GCF_000219215.1, s__Cupriavidus necator, 95.0, 82.31, 0.58; GCF_000812465.1, s__Cupriavidus sp000812465, 95.0, 82.19, 0.55; GCA_000471925.1, s__Cupriavidus pickettii, 95.0, 82.17, 0.58; GCF_000876015.1, s__Cupriavidus basilensis_B, 95.0, 82.17, 0.59; GCF_001281465.1, s__Cupriavidus gilardii, 95.0, 82.02, 0.54; GCF_003148725.1, s__Cupriavidus plantarum, 95.0, 81.94, 0.57; GCA_001725945.1, s__Cupriavidus sp001725945, 95.0, 81.89, 0.51; GCF_000203875.1, s__Cupriavidus pinatubonensis, 95.0, 81.89, 0.53; GCF_001854325.1, s__Cupriavidus sp001854325, 95.0, 81.32, 0.55; GCF_000832305.1, s__Cupriavidus basilensis_A, 95.0, 81.13, 0.55; GCF_000955785.1, s__Cupriavidus sp000955785, 95.0, 81.06, 0.54; GCF_000243095.1, s__Cupriavidus basilensis_D, 95.0, 80.96, 0.53",97.06,11,,
NAO-all-MES-0-8-5-00-bin-201,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,GCF_000974605.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.48,0.82,GCF_000974605.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.48,0.82,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_001652915.1, s__Cupriavidus sp001652915, 95.0, 85.27, 0.68; GCF_900104095.1, s__Cupriavidus sp900104095, 95.0, 84.95, 0.68; GCF_002858765.1, s__Cupriavidus pauculus_B, 95.0, 84.94, 0.66; GCF_000196015.1, s__Cupriavidus metallidurans, 95.0, 84.51, 0.6; GCF_000292345.1, s__Cupriavidus sp000292345, 95.0, 84.02, 0.61; GCF_900115455.1, s__Cupriavidus sp900115455, 95.0, 83.62, 0.64; GCF_900101625.1, s__Cupriavidus sp900101625, 95.0, 83.49, 0.58; GCF_001598055.1, s__Cupriavidus nantongensis, 95.0, 83.37, 0.55; GCF_900094595.1, s__Cupriavidus alkaliphilus, 95.0, 82.57, 0.56; GCF_001592245.1, s__Cupriavidus oxalaticus, 95.0, 82.57, 0.5; GCF_000069785.1, s__Cupriavidus taiwanensis, 95.0, 82.52, 0.52; GCF_000372525.1, s__Cupriavidus taiwanensis_A, 95.0, 82.42, 0.53; GCF_000379565.1, s__Cupriavidus sp000379565, 95.0, 82.42, 0.5; GCF_000426345.1, s__Cupriavidus sp000426345, 95.0, 82.34, 0.51; GCF_002011925.2, s__Cupriavidus sp002011925, 95.0, 82.32, 0.52; GCF_000876015.1, s__Cupriavidus basilensis_B, 95.0, 82.28, 0.53; GCA_000471925.1, s__Cupriavidus pickettii, 95.0, 82.23, 0.53; GCF_000219215.1, s__Cupriavidus necator, 95.0, 82.22, 0.53; GCF_000812465.1, s__Cupriavidus sp000812465, 95.0, 82.2, 0.49; GCF_000744095.1, s__Cupriavidus necator_A, 95.0, 82.17, 0.54; GCF_001281465.1, s__Cupriavidus gilardii, 95.0, 82.08, 0.54; GCF_003148725.1, s__Cupriavidus plantarum, 95.0, 81.95, 0.52; GCF_000203875.1, s__Cupriavidus pinatubonensis, 95.0, 81.91, 0.48; GCA_001725945.1, s__Cupriavidus sp001725945, 95.0, 81.9, 0.47; GCF_000832305.1, s__Cupriavidus basilensis_A, 95.0, 81.42, 0.51; GCF_001854325.1, s__Cupriavidus sp001854325, 95.0, 81.35, 0.5; GCF_000955785.1, s__Cupriavidus sp000955785, 95.0, 81.05, 0.49; GCF_000243095.1, s__Cupriavidus basilensis_D, 95.0, 81.05, 0.48",98.65,11,,
NPO-all-DCM-0-8-5-00-bin-11,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,GCF_000974605.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.76,0.9,GCF_000974605.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus_A,98.76,0.9,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_001652915.1, s__Cupriavidus sp001652915, 95.0, 84.92, 0.73; GCF_900104095.1, s__Cupriavidus sp900104095, 95.0, 84.87, 0.74; GCF_002858765.1, s__Cupriavidus pauculus_B, 95.0, 84.76, 0.74; GCF_000292345.1, s__Cupriavidus sp000292345, 95.0, 83.79, 0.59; GCF_000196015.1, s__Cupriavidus metallidurans, 95.0, 83.47, 0.62; GCF_900115455.1, s__Cupriavidus sp900115455, 95.0, 83.44, 0.66; GCF_900101625.1, s__Cupriavidus sp900101625, 95.0, 83.42, 0.64; GCF_001598055.1, s__Cupriavidus nantongensis, 95.0, 82.62, 0.58; GCF_000069785.1, s__Cupriavidus taiwanensis, 95.0, 82.39, 0.57; GCF_900094595.1, s__Cupriavidus alkaliphilus, 95.0, 82.35, 0.58; GCF_000372525.1, s__Cupriavidus taiwanensis_A, 95.0, 82.33, 0.59; GCF_000379565.1, s__Cupriavidus sp000379565, 95.0, 82.32, 0.54; GCF_001592245.1, s__Cupriavidus oxalaticus, 95.0, 82.26, 0.55; GCF_000426345.1, s__Cupriavidus sp000426345, 95.0, 82.21, 0.54; GCF_002011925.2, s__Cupriavidus sp002011925, 95.0, 82.2, 0.56; GCF_000744095.1, s__Cupriavidus necator_A, 95.0, 82.15, 0.59; GCF_000812465.1, s__Cupriavidus sp000812465, 95.0, 82.11, 0.54; GCF_000876015.1, s__Cupriavidus basilensis_B, 95.0, 82.11, 0.59; GCA_000471925.1, s__Cupriavidus pickettii, 95.0, 82.1, 0.59; GCF_000219215.1, s__Cupriavidus necator, 95.0, 82.08, 0.57; GCF_001281465.1, s__Cupriavidus gilardii, 95.0, 81.91, 0.51; GCF_003148725.1, s__Cupriavidus plantarum, 95.0, 81.8, 0.58; GCA_001725945.1, s__Cupriavidus sp001725945, 95.0, 81.7, 0.51; GCF_000203875.1, s__Cupriavidus pinatubonensis, 95.0, 81.66, 0.54; GCF_001854325.1, s__Cupriavidus sp001854325, 95.0, 81.19, 0.55; GCF_000955785.1, s__Cupriavidus sp000955785, 95.0, 81.08, 0.54; GCF_000832305.1, s__Cupriavidus basilensis_A, 95.0, 81.08, 0.55; GCF_000243095.1, s__Cupriavidus basilensis_D, 95.0, 80.88, 0.54",74.7,11,,
NAO-all-DCM-0-8-5-00-bin-113,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,GCF_000478365.1,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,97.75,0.89,GCF_000478365.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,97.75,0.89,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_002213425.1, s__Herbaspirillum aquaticum, 95.0, 93.11, 0.83; GCF_000261365.1, s__Herbaspirillum sp000261365, 95.0, 90.67, 0.85; GCF_001591225.1, s__Herbaspirillum rubrisubalbicans, 95.0, 88.13, 0.75; GCF_001040945.1, s__Herbaspirillum seropedicae, 95.0, 88.04, 0.74; GCF_000300975.2, s__Herbaspirillum frisingense, 95.0, 87.65, 0.76; GCF_002213415.1, s__Herbaspirillum robiniae, 95.0, 85.65, 0.67; GCF_001189955.1, s__Herbaspirillum chlorophenolicum, 95.0, 84.27, 0.6; GCF_000282575.1, s__Herbaspirillum sp000282575, 95.0, 82.93, 0.61; GCF_000256565.1, s__Herbaspirillum lusitanum, 95.0, 81.74, 0.58; GCF_001267925.1, s__Herbaspirillum hiltneri, 95.0, 81.0, 0.54; GCF_001189965.1, s__Herbaspirillum rhizosphaerae, 95.0, 80.99, 0.52; GCF_000282135.1, s__Herbaspirillum sp000282135, 95.0, 80.96, 0.5; GCF_000577615.1, s__Herbaspirillum sp000577615, 95.0, 80.74, 0.46; GCF_002257565.1, s__Herbaspirillum sp002257565, 95.0, 79.54, 0.43; GCF_001189915.1, s__Herbaspirillum autotrophicum, 95.0, 78.77, 0.34",92.2,11,,
